#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Solyc04g009660.2.1   -          MEME_alignment       -            2.6e-11   44.0   0.8   1.2e-10   41.8   0.4   2.6   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g009240.1.1   -          MEME_alignment       -              3e-11   43.8   0.8   1.3e-10   41.8   0.4   2.5   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g009120.1.1   -          MEME_alignment       -            1.3e-10   41.8   1.1   1.4e-09   38.5   0.4   3.0   2   0   0   2   2   2   1 Cc-nbs-lrr, resistance protein
Solyc04g009130.2.1   -          MEME_alignment       -            2.7e-10   40.8   0.2   7.1e-10   39.5   0.2   1.8   1   0   0   1   1   1   1 Cc-nbs-lrr, resistance protein
Solyc07g039400.1.1   -          MEME_alignment       -            4.6e-10   40.1   0.3   9.6e-10   39.0   0.3   1.6   1   0   0   1   1   1   1 Nbs, resistance protein fragment
Solyc04g009290.1.1   -          MEME_alignment       -            5.1e-10   39.9   0.6   2.5e-09   37.7   0.2   2.5   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g025840.1.1   -          MEME_alignment       -            8.1e-10   39.3   0.8   1.8e-09   38.2   0.8   1.7   1   0   0   1   1   1   1 Cc-nbs, resistance protein fragment
Solyc07g039420.1.1   -          MEME_alignment       -            1.2e-09   38.7   0.2   3.8e-09   37.2   0.2   2.0   1   0   0   1   1   1   1 Cc-nbs, resistance protein fragment
Solyc04g009260.1.1   -          MEME_alignment       -            1.6e-09   38.4   0.8   5.6e-09   36.6   0.4   2.3   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g026110.2.1   -          MEME_alignment       -            3.7e-09   37.2   2.2   5.8e-09   36.6   0.6   2.3   2   0   0   2   2   1   1 Cc-nbs, resistance protein fragment
Solyc04g009150.1.1   -          MEME_alignment       -            6.2e-09   36.5   0.5   2.9e-08   34.3   0.5   2.3   1   0   0   1   1   1   1 Cc-nbs-lrr, resistance protein
Solyc04g025820.1.1   -          MEME_alignment       -            7.6e-09   36.2   0.3   1.5e-08   35.2   0.3   1.6   1   0   0   1   1   1   1 Nbs, resistance protein fragment
Solyc04g009250.1.1   -          MEME_alignment       -            7.9e-09   36.1   0.6   3.2e-08   34.2   0.2   2.3   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g009690.1.1   -          MEME_alignment       -              1e-08   35.8   0.1   7.8e-08   33.0   0.0   2.7   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g009110.1.1   -          MEME_alignment       -            4.2e-08   33.9   0.5   4.2e-08   33.9   0.5   2.7   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc02g070750.1.1   -          MEME_alignment       -            8.6e-06   26.6   0.1   1.9e-05   25.5   0.1   1.6   1   0   0   1   1   1   1 Cc-nbs, resistance protein fragment
Solyc02g084890.1.1   -          MEME_alignment       -            1.5e-05   25.8   0.7   3.5e-05   24.6   0.7   1.7   1   0   0   1   1   1   1 Cc-nbs-lrr, resistance protein
Solyc01g073990.2.1   -          MEME_alignment       -            0.00071   20.5   0.3    0.0011   20.0   0.3   1.3   1   0   0   1   1   1   1 Unknown Protein
Solyc02g070730.1.1   -          MEME_alignment       -             0.0012   19.7   0.1    0.0029   18.6   0.1   1.7   1   0   0   1   1   1   1 Cc-nbs, resistance protein fragment
Solyc09g090620.1.1   -          MEME_alignment       -             0.0071   17.4   0.2     0.014   16.4   0.2   1.5   1   0   0   1   1   1   1 CC-NBS-LRR class disease resistance protein
Solyc04g007070.2.1   -          MEME_alignment       -             0.0088   17.0   2.0     0.025   15.6   1.0   2.4   2   0   0   2   2   1   1 Cc-nbs-lrr, resistance protein
Solyc04g007060.2.1   -          MEME_alignment       -              0.015   16.3   0.6     0.015   16.3   0.6   2.1   2   0   0   2   2   1   0 Cc-nbs-lrr, resistance protein
Solyc09g005290.1.1   -          MEME_alignment       -              0.017   16.1   2.0     0.076   14.1   2.0   2.3   1   0   0   1   1   1   0 Cc-nbs-lrr, resistance protein
Solyc04g007030.2.1   -          MEME_alignment       -              0.018   16.1   0.9     0.052   14.6   0.3   2.2   2   0   0   2   2   1   0 Cc-nbs-lrr, resistance protein
Solyc05g009630.2.1   -          MEME_alignment       -              0.032   15.3   0.3     0.098   13.8   0.3   1.8   1   0   0   1   1   1   0 Disease resistance protein
Solyc06g066410.2.1   -          MEME_alignment       -               0.62   11.2   0.0       1.1   10.5   0.0   1.4   1   0   0   1   1   1   0 Profilin  IPR005455  Profilin, plant
Solyc11g013840.1.1   -          MEME_alignment       -               0.69   11.1   0.3       2.4    9.4   0.1   2.1   2   0   0   2   2   1   0 Exostosin-like glycosyltransferase  IPR004263  Exostosin-like
Solyc11g010160.1.1   -          MEME_alignment       -                  1   10.5   0.2         5    8.4   0.2   2.3   1   0   0   1   1   1   0 Cc-nbs-lrr, resistance protein
Solyc05g013780.2.1   -          MEME_alignment       -                1.4   10.2   0.1       5.2    8.3   0.1   2.1   1   0   0   1   1   1   0 Unknown Protein
Solyc08g066110.2.1   -          MEME_alignment       -                1.4   10.1   0.0       2.7    9.2   0.0   1.5   1   0   0   1   1   1   0 Profilin  IPR005455  Profilin, plant
Solyc01g073640.2.1   -          MEME_alignment       -                1.7    9.8   0.0       3.9    8.7   0.0   1.6   1   0   0   1   1   1   0 Uncharacterized oxidoreductase Mb1385  IPR002347  Glucose_ribitol dehydrogenase
Solyc03g032010.2.1   -          MEME_alignment       -                  2    9.6   0.0       5.5    8.2   0.0   1.8   1   0   0   1   1   1   0 Hydroxy-methylglutaryl-coenzyme A reductase  IPR002202  Hydroxymethylglutaryl-CoA reductase, class I_II, catalytic
